,user_id,book_id,is_read,rating,is_reviewed
2,14,11831,1,4,1
3,14,10943,1,4,1
4,14,10570,1,4,1
5,14,8967,1,5,1
6,14,8960,1,4,1
8,22,14567,1,5,0
9,22,14566,1,4,0
10,22,14560,1,4,0
11,30,17020,1,4,0
12,30,17005,1,4,1
17,39,19066,1,4,0
18,39,19065,1,4,0
22,68,22399,1,4,0
23,68,19065,1,5,0
24,68,22237,1,4,0
25,68,22192,1,5,1
27,80,24094,1,4,0
28,80,24093,1,4,0
29,85,24769,1,5,0
30,85,24768,1,5,0
31,85,24766,1,4,0
32,85,24765,1,5,0
33,86,24898,1,4,1
34,86,24885,1,5,0
35,86,24884,1,5,1
36,86,24881,1,4,0
37,86,24878,1,5,0
39,100,19065,1,5,0
40,100,991,1,5,0
43,108,4717,1,4,0
44,108,3304,1,5,0
48,134,3304,1,5,0
49,134,37751,1,4,0
50,134,37240,1,5,0
52,140,39640,1,5,0
53,140,39639,1,5,0
54,140,39638,1,5,0
55,140,39637,1,5,0
56,140,39636,1,5,0
57,140,39635,1,5,0
58,140,22192,1,5,0
59,141,39785,1,5,0
60,141,39784,1,5,0
61,141,39771,1,5,0
62,142,19476,1,4,0
63,142,2917,1,4,1
64,142,39988,1,4,1
65,142,3304,1,4,1
68,161,38517,1,5,0
69,161,44881,1,5,0
70,161,44325,1,4,0
71,161,44175,1,4,0
72,161,43595,1,4,0
73,161,43529,1,4,0
74,161,43489,1,4,0
75,162,46262,1,5,0
76,162,46260,1,5,0
77,167,38539,1,4,0
78,167,24424,1,4,1
80,170,47924,1,4,0
81,170,47923,1,4,0
82,170,47889,1,4,0
91,210,47774,1,5,0
92,210,53132,1,5,0
93,210,53072,1,5,0
107,270,12125,1,4,0
108,270,12523,1,4,0
109,270,65065,1,4,0
112,282,19065,1,4,0
113,282,49746,1,4,0
114,282,22232,1,4,0
117,292,24424,1,4,0
118,292,19439,1,4,0
119,292,14566,1,5,0
120,295,69477,1,4,0
121,295,69336,1,4,0
122,297,13152,1,4,0
123,297,58350,1,4,0
